entity_type,id,name_ja,name_en,category_id,status,priority,agent_id,module_id,runtime,cli_command,tier,pack,regulations,official_urls,notes,path
module,property_management,不動産管理,,sector_operations,implemented,P2,property_rental,,,,production_ready,steward/modules,,,,
module,rental,不動産賃貸,,sector_operations,implemented,P2,property_rental,,,,production_ready,steward/modules,,,,
module,hospitality,宿泊・旅館,,sector_operations,implemented,P2,hospitality,,,,production_ready,steward/modules,REG-012,,旅館業法 · 民泊は別モジュール候補,
module,restaurant,飲食,,sector_operations,implemented,P2,operations,,,,production_ready,steward/modules,REG-017,,,
module,clinic,クリニック・医療,,sector_operations,implemented,P3,operations,,,,production_ready,steward/modules,REG-018,,,
module,construction,建設・工事,,sector_operations,implemented,P2,operations,,,,production_ready,steward/modules,REG-019,,,
module,logistics,物流・倉庫,,sector_operations,implemented,P2,operations,,,,production_ready,steward/modules,REG-023,,,
module,education,教育・スクール,,sector_operations,implemented,P2,operations,,,,production_ready,steward/modules,REG-021,,,
module,membership,会員制ビジネス,,sector_operations,implemented,P2,finance,,,,production_ready,steward/modules,REG-024,,,
module,event_space,イベントスペース,,sector_operations,implemented,P2,operations,,,,production_ready,steward/modules,,,,
module,event_operations,イベント運営,,sector_operations,implemented,P2,operations,,,,production_ready,steward/modules,,,,
module,retail_store,小売店舗,,sector_operations,implemented,P2,operations,,,,production_ready,steward/modules,,,,
module,venture_capital,VC・投資,,sector_operations,implemented,P3,finance,,,,production_ready,steward/modules,,,,
module,travel_booking,出張・旅行手配,,sector_operations,partial,P1,operations,,,,activation_ready,steward/modules,REG-008,,,
module,language_bridge,多言語記録・議事録,,cross_border,partial,P1,secretary,,,,activation_ready,steward/modules,,,,
module,jp_privacy_policy,プライバシーポリシー（外部向け）,,compliance_legal,partial,P0,compliance,,,,activation_ready,jurisdiction-packs/JP,REG-010,https://www.ppc.go.jp/,,
module,jp_subsidy_application,補助金・助成金申請,,government_programs,partial,P1,finance,,,,activation_ready,jurisdiction-packs/JP,,https://www.chusho.meti.go.jp/,,
module,jp_trademark_application,商標出願,,intellectual_property,partial,P1,compliance,,,,activation_ready,jurisdiction-packs/JP,,https://www.jpo.go.jp/system/basic/trademark/index.html|https://faq.inpit.go.jp/FAQ/trademark202601.pdf,,
module,jp_women_empowerment,女性活躍・行動計画,,government_programs,partial,P2,compliance,,,,activation_ready,jurisdiction-packs/JP,,https://www.meti.go.jp/policy/koyou/josei/kigyou_ninni/index.html,,
module,jp_carbon_neutral_2050,2050 カーボンニュートラル宣言,,government_programs,partial,P2,compliance,,,,activation_ready,jurisdiction-packs/JP,REG-014,https://www.meti.go.jp/policy/energy_environment/global_warming/2050_carbon_neutral/,,
module,jp_corporate_registration,法人設立・変更登記,,corporate_governance,planned,P0,secretary,,,,skeleton,jurisdiction-packs/JP,,https://www.houjin-bangou.nta.go.jp/|https://www.touki.or.jp/,,
module,jp_statutory_meetings,株主総会・取締役会手続,,corporate_governance,planned,P0,secretary,,,,skeleton,jurisdiction-packs/JP,REG-002|REG-003|REG-004,,,
module,jp_tax_corporate,法人税・地方法人税申告,,tax_finance,planned,P0,finance,,,,skeleton,jurisdiction-packs/JP,,https://www.nta.go.jp/,,
module,jp_tax_consumption,消費税申告,,tax_finance,planned,P0,finance,,,,skeleton,jurisdiction-packs/JP,,https://www.nta.go.jp/taxes/shiraberu/zeimokubetsu/shohi/shohi.htm,,
module,jp_invoice_qualified,インボイス（適格請求書）登録・運用,,tax_finance,planned,P0,finance,,,,skeleton,jurisdiction-packs/JP,,https://www.invoice-kohyo.nta.go.jp/,,
module,jp_withholding_statutory,源泉徴収・法定調書,,tax_finance,planned,P0,finance,,,,skeleton,jurisdiction-packs/JP,,,,
module,jp_social_insurance,社会保険・労働保険事務,,labor_hr,planned,P0,human_resources,,,,skeleton,jurisdiction-packs/JP,,https://www.nenkin.go.jp/|https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_rodou/rodouteiriku/,,
module,jp_employment_rules,就業規則・36協定,,labor_hr,planned,P0,human_resources,,,,skeleton,jurisdiction-packs/JP,,,,
module,jp_payroll,給与・賞与・年末調整,,labor_hr,planned,P0,human_resources,,,,skeleton,jurisdiction-packs/JP,,,,
module,jp_labor_contract,雇用契約・労務管理,,labor_hr,planned,P0,human_resources,,,,skeleton,jurisdiction-packs/JP,,,,
module,jp_permit_registry,許認可・届出台帳,,compliance_legal,partial,P1,compliance,,,,skeleton,jurisdiction-packs/JP,,,permit-types-catalog 60+ 種 · obligations · operations permit CLI,
module,jp_subcontractor_act,下請法コンプライアンス,,compliance_legal,planned,P1,contract,,,,skeleton,jurisdiction-packs/JP,,https://www.chusho.meti.go.jp/policy/shitauke/index.html,,
module,jp_data_breach,個情漏えい報告・記録,,compliance_legal,planned,P1,compliance,,,,skeleton,jurisdiction-packs/JP,REG-010,https://www.ppc.go.jp/,,
module,jp_patent_application,特許出願,,intellectual_property,planned,P2,compliance,,,,skeleton,jurisdiction-packs/JP,,https://www.jpo.go.jp/system/process/tokkyo/index.html,,
module,jp_minpaku,民泊・住宅宿泊,,sector_operations,planned,P2,compliance,,,,skeleton,jurisdiction-packs/JP,,,,
module,jp_takken,宅地建物取引業,,sector_operations,planned,P2,contract,,,,skeleton,jurisdiction-packs/JP,,,,
module,jp_bank_corporate,法人口座・資金管理,,banking_payments,planned,P1,finance,,,,skeleton,jurisdiction-packs/JP,,,broker transfer CLI 連動 · L2 口座は gitignore,
module,jp_visa_employment,在留・外国人雇用,,labor_hr,planned,P2,human_resources,,,,skeleton,jurisdiction-packs/JP,,https://www.moj.go.jp/isa/applications/procedures/index.html,,
skill,daily_ops,日次運用,,corporate_governance,implemented,P0,executive_steward,,cli,daily,,,,,,
skill,p0_closing,P0 決算前ブロッカー,,corporate_governance,implemented,P0,executive_steward,,cli,p0,,,,,,
skill,executive_dashboard,経営ダッシュボード,,corporate_governance,implemented,P1,executive_steward,,cli,dashboard,,,,,,
skill,monthly_close,月次締め,,tax_finance,implemented,P0,finance,,cli,monthly-close,,,,,,
skill,tax_filing_prep,税務申告準備,,tax_finance,implemented,P0,finance,jp_tax_corporate,cli,tax-filing-prep,,,,,,
skill,variance_analysis,予実差異分析,,tax_finance,implemented,P1,finance,,cli,variance,,,,,,
skill,cashflow_forecast,キャッシュフロー予測,,tax_finance,implemented,P1,finance,,cli,forecast,,,,,,
skill,capex_planning,CAPEX 計画,,tax_finance,implemented,P2,finance,,cli,capex-planning,,,,,,
skill,contract_expiry_check,契約期限アラート,,compliance_legal,implemented,P0,contract,,cli,contract-expiry,,,,,,
skill,contract_register,契約台帳整備,,compliance_legal,implemented,P0,contract,,cli,contract-register,,,,,,
skill,permit_expiry_check,許認可・保険期限,,compliance_legal,implemented,P0,compliance,jp_permit_registry,cli,permit-expiry,,,,,,
skill,schedule_management,スケジュール管理,,corporate_governance,implemented,P1,secretary,,cli,schedule,,,,,,
skill,one_on_one_prep,1-on-1 準備,,labor_hr,implemented,P2,secretary,,cli,one-on-one,,,,,,
skill,external_correspondence,社外連絡下書き,,cross_border,partial,P1,secretary,,cursor-only,,,,,,,
skill,jp_subsidy_eligibility,補助金適格性チェック,,government_programs,partial,P1,finance,jp_subsidy_application,cli,operations subsidy eligibility,,,,,,
skill,jp_subsidy_labor_cost,補助金人件費算定,,government_programs,partial,P1,finance,jp_subsidy_application,cli,operations subsidy labor-cost,,,,,,
skill,jp_subsidy_draft,補助金申請書ドラフト,,government_programs,partial,P1,finance,jp_subsidy_application,cli,operations subsidy draft,,,,,,
skill,jp_trademark_checklist,商標出願前チェックリスト,,intellectual_property,partial,P1,compliance,jp_trademark_application,cli,operations trademark checklist,,,,,,
skill,jp_trademark_draft,商標登録願ドラフト,,intellectual_property,partial,P1,compliance,jp_trademark_application,cli,operations trademark draft,,,,,,
skill,jp_company_incorporation,株式会社設立手続ガイド,,corporate_governance,planned,P0,secretary,jp_corporate_registration,cli,,,,,,,
skill,jp_registry_change,登記変更（本店移転・役員変更）,,corporate_governance,planned,P1,secretary,jp_corporate_registration,cli,,,,,,,
skill,jp_shareholder_meeting_pack,株主総会招集・議事録パック,,corporate_governance,planned,P0,secretary,jp_statutory_meetings,cli,,,,REG-003,,,
skill,jp_board_meeting_pack,取締役会招集・議事録パック,,corporate_governance,planned,P0,secretary,jp_statutory_meetings,cli,,,,REG-002,,,
skill,jp_ringi_draft,稟議書ドラフト,,corporate_governance,planned,P0,secretary,jp_statutory_meetings,cli,,,,REG-004,,,
skill,jp_corporate_tax_return,法人税申告書準備,,tax_finance,planned,P0,finance,jp_tax_corporate,cli,,,,,,,
skill,jp_consumption_tax_return,消費税申告準備,,tax_finance,planned,P0,finance,jp_tax_consumption,cli,,,,,,,
skill,jp_invoice_registration,インボイス登録・番号管理,,tax_finance,planned,P0,finance,jp_invoice_qualified,cli,,,,,,,
skill,jp_qualified_invoice_issue,適格請求書発行チェック,,tax_finance,planned,P0,finance,jp_invoice_qualified,cli,,,,,,,
skill,jp_withholding_payment,源泉徴収税納付・支払調書,,tax_finance,planned,P0,finance,jp_withholding_statutory,cli,,,,,,,
skill,jp_social_insurance_enroll,社会保険資格取得・算定,,labor_hr,planned,P0,human_resources,jp_social_insurance,cli,,,,,,,
skill,jp_labor_insurance_annual,労働保険年度更新,,labor_hr,planned,P0,human_resources,jp_social_insurance,cli,,,,,,,
skill,jp_work_rules_draft,就業規則ドラフト,,labor_hr,planned,P0,human_resources,jp_employment_rules,cli,,,,,,,
skill,jp_36_agreement,36協定届出準備,,labor_hr,planned,P1,human_resources,jp_employment_rules,cli,,,,,,,
skill,jp_payroll_run,給与計算・明細,,labor_hr,planned,P0,human_resources,jp_payroll,cli,,,,,,,
skill,jp_year_end_adjustment,年末調整,,labor_hr,planned,P0,human_resources,jp_payroll,cli,,,,,,,
skill,jp_employment_contract_draft,雇用契約書ドラフト,,labor_hr,planned,P0,human_resources,jp_labor_contract,cli,,,,,,,
skill,jp_privacy_policy_publish,プライバシーポリシー生成,,compliance_legal,planned,P0,compliance,jp_privacy_policy,cli,,,,REG-010,,,
skill,jp_ppc_breach_report,個情漏えい報告準備,,compliance_legal,planned,P1,compliance,jp_data_breach,cli,,,,,,,
skill,jp_subcontractor_checklist,下請法チェックリスト,,compliance_legal,planned,P1,contract,jp_subcontractor_act,cli,,,,,,,
skill,jp_women_plan_draft,女性活躍行動計画ドラフト,,government_programs,planned,P2,compliance,jp_women_empowerment,cli,,,,,,,
skill,jp_cn2050_declaration,CN2050 宣言・計画ドラフト,,government_programs,planned,P2,compliance,jp_carbon_neutral_2050,cli,,,,,,,
skill,jp_patent_draft,特許出願書類ドラフト,,intellectual_property,planned,P2,compliance,jp_patent_application,cli,,,,,,,
skill,jp_travel_expense_claim,旅費精算（REG-008）,,tax_finance,planned,P1,operations,travel_booking,cli,,,,REG-008,,,
skill,jp_bilingual_minutes,日英議事録生成,,cross_border,planned,P1,secretary,language_bridge,cli,,,,,,,
skill,jp_broker_transfer,振込実行（broker）,,banking_payments,implemented,P1,finance,jp_bank_corporate,cli,broker transfer,,,,,L2 · 口座番号はチャット非出力,
skill,jp_sector_invoice,業種別請求書生成,,tax_finance,partial,P1,finance,,cli,invoice generate,,,,,production_ready モジュール各 seed 連動,
