condition_id,permit_type_id,phase,title_ja,legal_basis,severity,evidence_hint,source_id,notes
COND-FIEA-INVESTMENT-ADVISORY-OBTAIN-02,pt-fiea-investment-advisory,obtain,申請書類・添付書類の整備,金融商品取引法第29条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-FIEA-INVESTMENT-ADVISORY-OBTAIN-03,pt-fiea-investment-advisory,obtain,人的・物的要件の充足確認,金融商品取引法第29条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-FIEA-INVESTMENT-MANAGEMENT-OBTAIN-01,pt-fiea-investment-management,obtain,投資運用業の申請・取得,金融商品取引法第29条,required,docs/company/licenses/records/,,営業開始前必須
COND-FIEA-INVESTMENT-MANAGEMENT-OBTAIN-02,pt-fiea-investment-management,obtain,申請書類・添付書類の整備,金融商品取引法第29条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-FIEA-INVESTMENT-MANAGEMENT-OBTAIN-03,pt-fiea-investment-management,obtain,人的・物的要件の充足確認,金融商品取引法第29条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-FIEA-REGISTERED-FINANCIAL-INSTITUTION-OBTAIN-01,pt-fiea-registered-financial-institution,obtain,登録金融機関業務（金商法）の申請・取得,金融商品取引法第33条の2,required,docs/company/licenses/records/,,営業開始前必須
COND-FIEA-REGISTERED-FINANCIAL-INSTITUTION-OBTAIN-02,pt-fiea-registered-financial-institution,obtain,申請書類・添付書類の整備,金融商品取引法第33条の2,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-FIEA-REGISTERED-FINANCIAL-INSTITUTION-OBTAIN-03,pt-fiea-registered-financial-institution,obtain,人的・物的要件の充足確認,金融商品取引法第33条の2,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-BANKING-OBTAIN-01,pt-banking,obtain,銀行業免許の申請・取得,銀行法第4条,required,docs/company/licenses/records/,,営業開始前必須
COND-BANKING-OBTAIN-02,pt-banking,obtain,申請書類・添付書類の整備,銀行法第4条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-BANKING-OBTAIN-03,pt-banking,obtain,人的・物的要件の充足確認,銀行法第4条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-INSURANCE-OBTAIN-01,pt-insurance,obtain,保険業免許の申請・取得,保険業法第3条,required,docs/company/licenses/records/,,営業開始前必須
COND-INSURANCE-OBTAIN-02,pt-insurance,obtain,申請書類・添付書類の整備,保険業法第3条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-INSURANCE-OBTAIN-03,pt-insurance,obtain,人的・物的要件の充足確認,保険業法第3条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-INSURANCE-AGENT-OBTAIN-01,pt-insurance-agent,obtain,保険募集人登録の申請・取得,保険業法第276条,required,docs/company/licenses/records/,,営業開始前必須
COND-INSURANCE-AGENT-OBTAIN-02,pt-insurance-agent,obtain,申請書類・添付書類の整備,保険業法第276条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-INSURANCE-AGENT-OBTAIN-03,pt-insurance-agent,obtain,人的・物的要件の充足確認,保険業法第276条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-TRUST-OBTAIN-01,pt-trust,obtain,信託業免許・登録の申請・取得,信託業法第3条・第7条,required,docs/company/licenses/records/,,営業開始前必須
COND-TRUST-OBTAIN-02,pt-trust,obtain,申請書類・添付書類の整備,信託業法第3条・第7条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-TRUST-OBTAIN-03,pt-trust,obtain,人的・物的要件の充足確認,信託業法第3条・第7条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-PREPAID-PAYMENT-OBTAIN-01,pt-prepaid-payment,obtain,前払式支払手段発行者届出・登録の申請・取得,資金決済に関する法律第7条・第8条,required,docs/company/licenses/records/,,営業開始前必須
COND-PREPAID-PAYMENT-OBTAIN-02,pt-prepaid-payment,obtain,申請書類・添付書類の整備,資金決済に関する法律第7条・第8条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-PREPAID-PAYMENT-OBTAIN-03,pt-prepaid-payment,obtain,人的・物的要件の充足確認,資金決済に関する法律第7条・第8条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-ELECTRONIC-PAYMENT-AGENCY-OBTAIN-01,pt-electronic-payment-agency,obtain,電子決済等代行業者登録の申請・取得,銀行法第52条の61の2,required,docs/company/licenses/records/,,営業開始前必須
COND-ELECTRONIC-PAYMENT-AGENCY-OBTAIN-02,pt-electronic-payment-agency,obtain,申請書類・添付書類の整備,銀行法第52条の61の2,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-ELECTRONIC-PAYMENT-AGENCY-OBTAIN-03,pt-electronic-payment-agency,obtain,人的・物的要件の充足確認,銀行法第52条の61の2,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-FINANCIAL-INSTRUMENTS-INTERMEDIARY-OBTAIN-01,pt-financial-instruments-intermediary,obtain,金融商品仲介業登録の申請・取得,金融商品取引法第66条,required,docs/company/licenses/records/,,営業開始前必須
COND-FINANCIAL-INSTRUMENTS-INTERMEDIARY-OBTAIN-02,pt-financial-instruments-intermediary,obtain,申請書類・添付書類の整備,金融商品取引法第66条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-FINANCIAL-INSTRUMENTS-INTERMEDIARY-OBTAIN-03,pt-financial-instruments-intermediary,obtain,人的・物的要件の充足確認,金融商品取引法第66条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-CREDIT-CARD-OBTAIN-01,pt-credit-card,obtain,包括信用購入あっせん業登録の申請・取得,割賦販売法第31条,required,docs/company/licenses/records/,,営業開始前必須
COND-CREDIT-CARD-OBTAIN-02,pt-credit-card,obtain,申請書類・添付書類の整備,割賦販売法第31条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-CREDIT-CARD-OBTAIN-03,pt-credit-card,obtain,人的・物的要件の充足確認,割賦販売法第31条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-COMMODITY-DERIVATIVES-OBTAIN-01,pt-commodity-derivatives,obtain,商品先物取引業者許可の申請・取得,商品先物取引法第190条,required,docs/company/licenses/records/,,営業開始前必須
COND-COMMODITY-DERIVATIVES-OBTAIN-02,pt-commodity-derivatives,obtain,申請書類・添付書類の整備,商品先物取引法第190条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-COMMODITY-DERIVATIVES-OBTAIN-03,pt-commodity-derivatives,obtain,人的・物的要件の充足確認,商品先物取引法第190条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-COSMETICS-MAH-OBTAIN-01,pt-cosmetics-mah,obtain,化粧品製造販売業許可申請書の提出,薬機法第12条,required,docs/company/licenses/records/cosmetics/,mhlw-pharma,都道府県経由
COND-COSMETICS-MAH-OBTAIN-02,pt-cosmetics-mah,obtain,総括製造販売責任者の配置,薬機法,required,docs/company/licenses/records/cosmetics/,mhlw-pharma,人的要件
COND-COSMETICS-MAH-OBTAIN-03,pt-cosmetics-mah,obtain,GQP・GVP 体制の整備,薬機法・GQP/GVP省令,required,docs/compliance/,mhlw-pharma,品質・安全
COND-COSMETICS-MAH-OBTAIN-04,pt-cosmetics-mah,obtain,製造所・試験検査設備の確保（委託含む）,薬機法,required,docs/company/licenses/records/cosmetics/,mhlw-pharma,製造は pt-cosmetics-mfg と連動可
COND-COSMETICS-MFG-OBTAIN-01,pt-cosmetics-mfg,obtain,化粧品製造業許可の申請・取得,薬機法第13条,required,docs/company/licenses/records/,,営業開始前必須
COND-COSMETICS-MFG-OBTAIN-02,pt-cosmetics-mfg,obtain,申請書類・添付書類の整備,薬機法第13条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-COSMETICS-MFG-OBTAIN-03,pt-cosmetics-mfg,obtain,人的・物的要件の充足確認,薬機法第13条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-QUASI-DRUG-MAH-OBTAIN-01,pt-quasi-drug-mah,obtain,医薬部外品製造販売業許可の申請・取得,薬機法第12条,required,docs/company/licenses/records/,,営業開始前必須
COND-QUASI-DRUG-MAH-OBTAIN-02,pt-quasi-drug-mah,obtain,申請書類・添付書類の整備,薬機法第12条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-QUASI-DRUG-MAH-OBTAIN-03,pt-quasi-drug-mah,obtain,人的・物的要件の充足確認,薬機法第12条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-QUASI-DRUG-MFG-OBTAIN-01,pt-quasi-drug-mfg,obtain,医薬部外品製造業許可の申請・取得,薬機法第13条,required,docs/company/licenses/records/,,営業開始前必須
COND-QUASI-DRUG-MFG-OBTAIN-02,pt-quasi-drug-mfg,obtain,申請書類・添付書類の整備,薬機法第13条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-QUASI-DRUG-MFG-OBTAIN-03,pt-quasi-drug-mfg,obtain,人的・物的要件の充足確認,薬機法第13条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-PHARMA-MAH-OBTAIN-01,pt-pharma-mah,obtain,医薬品製造販売業許可申請,薬機法第12条,required,docs/company/licenses/records/pharma/,mhlw-pharma,都道府県
COND-PHARMA-MAH-OBTAIN-02,pt-pharma-mah,obtain,総括製造販売責任者・品質保証責任者・安全管理責任者の配置,薬機法,required,docs/company/licenses/records/pharma/,mhlw-pharma,三役
COND-PHARMA-MAH-OBTAIN-03,pt-pharma-mah,obtain,GQP・GVP 体制整備,薬機法省令,required,docs/compliance/,mhlw-pharma,
COND-PHARMA-MAH-OBTAIN-04,pt-pharma-mah,obtain,品目承認・届出との切り分け確認,薬機法,required,docs/company/licenses/records/pharma/,mhlw-pharma,業許可≠品目承認
COND-PHARMA-MFG-OBTAIN-01,pt-pharma-mfg,obtain,医薬品製造業許可の申請・取得,薬機法第13条,required,docs/company/licenses/records/,,営業開始前必須
COND-PHARMA-MFG-OBTAIN-02,pt-pharma-mfg,obtain,申請書類・添付書類の整備,薬機法第13条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-PHARMA-MFG-OBTAIN-03,pt-pharma-mfg,obtain,人的・物的要件の充足確認,薬機法第13条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-PHARMA-WHOLESALE-OBTAIN-01,pt-pharma-wholesale,obtain,医薬品卸売販売業許可の申請・取得,薬機法第24条,required,docs/company/licenses/records/,,営業開始前必須
COND-PHARMA-WHOLESALE-OBTAIN-02,pt-pharma-wholesale,obtain,申請書類・添付書類の整備,薬機法第24条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-PHARMA-WHOLESALE-OBTAIN-03,pt-pharma-wholesale,obtain,人的・物的要件の充足確認,薬機法第24条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-PHARMA-STORE-SALES-OBTAIN-01,pt-pharma-store-sales,obtain,店舗販売業許可（医薬品）の申請・取得,薬機法第24条,required,docs/company/licenses/records/,,営業開始前必須
COND-PHARMA-STORE-SALES-OBTAIN-02,pt-pharma-store-sales,obtain,申請書類・添付書類の整備,薬機法第24条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-PHARMA-STORE-SALES-OBTAIN-03,pt-pharma-store-sales,obtain,人的・物的要件の充足確認,薬機法第24条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-PHARMA-PLACEMENT-SALES-OBTAIN-01,pt-pharma-placement-sales,obtain,配置販売業許可（医薬品）の申請・取得,薬機法第24条,required,docs/company/licenses/records/,,営業開始前必須
COND-PHARMA-PLACEMENT-SALES-OBTAIN-02,pt-pharma-placement-sales,obtain,申請書類・添付書類の整備,薬機法第24条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-PHARMA-PLACEMENT-SALES-OBTAIN-03,pt-pharma-placement-sales,obtain,人的・物的要件の充足確認,薬機法第24条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-POISONOUS-DRUG-OBTAIN-01,pt-poisonous-drug,obtain,毒物劇物製造業・販売業登録の申請・取得,毒物及び劇物取締法第3条,required,docs/company/licenses/records/,,営業開始前必須
COND-POISONOUS-DRUG-OBTAIN-02,pt-poisonous-drug,obtain,申請書類・添付書類の整備,毒物及び劇物取締法第3条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-POISONOUS-DRUG-OBTAIN-03,pt-poisonous-drug,obtain,人的・物的要件の充足確認,毒物及び劇物取締法第3条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-NARCOTICS-HANDLER-OBTAIN-01,pt-narcotics-handler,obtain,麻薬取扱者免許の申請・取得,麻薬及び向精神薬取締法第3条,required,docs/company/licenses/records/,,営業開始前必須
COND-NARCOTICS-HANDLER-OBTAIN-02,pt-narcotics-handler,obtain,申請書類・添付書類の整備,麻薬及び向精神薬取締法第3条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-NARCOTICS-HANDLER-OBTAIN-03,pt-narcotics-handler,obtain,人的・物的要件の充足確認,麻薬及び向精神薬取締法第3条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-REGENERATIVE-MAH-OBTAIN-01,pt-regenerative-mah,obtain,再生医療等製品製造販売業許可の申請・取得,薬機法第23条の20,required,docs/company/licenses/records/,,営業開始前必須
COND-REGENERATIVE-MAH-OBTAIN-02,pt-regenerative-mah,obtain,申請書類・添付書類の整備,薬機法第23条の20,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-REGENERATIVE-MAH-OBTAIN-03,pt-regenerative-mah,obtain,人的・物的要件の充足確認,薬機法第23条の20,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-TRAVEL-AGENCY-1-OBTAIN-01,pt-travel-agency-1,obtain,旅行業登録（第1種）の申請・取得,旅行業法第3条,required,docs/company/licenses/records/,,営業開始前必須
COND-TRAVEL-AGENCY-1-OBTAIN-02,pt-travel-agency-1,obtain,申請書類・添付書類の整備,旅行業法第3条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-TRAVEL-AGENCY-1-OBTAIN-03,pt-travel-agency-1,obtain,人的・物的要件の充足確認,旅行業法第3条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-TRAVEL-AGENCY-2-OBTAIN-01,pt-travel-agency-2,obtain,旅行業登録（第2種）の申請・取得,旅行業法第3条,required,docs/company/licenses/records/,,営業開始前必須
COND-TRAVEL-AGENCY-2-OBTAIN-02,pt-travel-agency-2,obtain,申請書類・添付書類の整備,旅行業法第3条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-TRAVEL-AGENCY-2-OBTAIN-03,pt-travel-agency-2,obtain,人的・物的要件の充足確認,旅行業法第3条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-TRAVEL-AGENCY-3-OBTAIN-01,pt-travel-agency-3,obtain,旅行業登録（第3種）の申請・取得,旅行業法第3条,required,docs/company/licenses/records/,,営業開始前必須
COND-TRAVEL-AGENCY-3-OBTAIN-02,pt-travel-agency-3,obtain,申請書類・添付書類の整備,旅行業法第3条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-TRAVEL-AGENCY-3-OBTAIN-03,pt-travel-agency-3,obtain,人的・物的要件の充足確認,旅行業法第3条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-TRAVEL-AGENCY-REGIONAL-OBTAIN-01,pt-travel-agency-regional,obtain,地域限定旅行業登録の申請・取得,旅行業法第3条,required,docs/company/licenses/records/,,営業開始前必須
COND-TRAVEL-AGENCY-REGIONAL-OBTAIN-02,pt-travel-agency-regional,obtain,申請書類・添付書類の整備,旅行業法第3条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-TRAVEL-AGENCY-REGIONAL-OBTAIN-03,pt-travel-agency-regional,obtain,人的・物的要件の充足確認,旅行業法第3条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-TRAVEL-AGENT-OBTAIN-01,pt-travel-agent,obtain,旅行業者代理業登録の申請・取得,旅行業法第3条,required,docs/company/licenses/records/,,営業開始前必須
COND-TRAVEL-AGENT-OBTAIN-02,pt-travel-agent,obtain,申請書類・添付書類の整備,旅行業法第3条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-TRAVEL-AGENT-OBTAIN-03,pt-travel-agent,obtain,人的・物的要件の充足確認,旅行業法第3条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-WAREHOUSING-OBTAIN-01,pt-warehousing,obtain,倉庫業登録の申請・取得,倉庫業法第3条,required,docs/company/licenses/records/,,営業開始前必須
COND-WAREHOUSING-OBTAIN-02,pt-warehousing,obtain,申請書類・添付書類の整備,倉庫業法第3条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-WAREHOUSING-OBTAIN-03,pt-warehousing,obtain,人的・物的要件の充足確認,倉庫業法第3条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-MOTOR-VEHICLE-MAINTENANCE-OBTAIN-01,pt-motor-vehicle-maintenance,obtain,自動車分解整備事業認証の申請・取得,道路運送車両法第78条,required,docs/company/licenses/records/,,営業開始前必須
COND-MOTOR-VEHICLE-MAINTENANCE-OBTAIN-02,pt-motor-vehicle-maintenance,obtain,申請書類・添付書類の整備,道路運送車両法第78条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-MOTOR-VEHICLE-MAINTENANCE-OBTAIN-03,pt-motor-vehicle-maintenance,obtain,人的・物的要件の充足確認,道路運送車両法第78条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-PASSENGER-BUS-CHARTER-OBTAIN-01,pt-passenger-bus-charter,obtain,一般貸切旅客自動車運送事業許可の申請・取得,道路運送法第4条,required,docs/company/licenses/records/,,営業開始前必須
COND-PASSENGER-BUS-CHARTER-OBTAIN-02,pt-passenger-bus-charter,obtain,申請書類・添付書類の整備,道路運送法第4条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-PASSENGER-BUS-CHARTER-OBTAIN-03,pt-passenger-bus-charter,obtain,人的・物的要件の充足確認,道路運送法第4条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-COASTAL-SHIPPING-OBTAIN-01,pt-coastal-shipping,obtain,内航海運業許可・届出の申請・取得,内航海運業法,required,docs/company/licenses/records/,,営業開始前必須
COND-COASTAL-SHIPPING-OBTAIN-02,pt-coastal-shipping,obtain,申請書類・添付書類の整備,内航海運業法,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-COASTAL-SHIPPING-OBTAIN-03,pt-coastal-shipping,obtain,人的・物的要件の充足確認,内航海運業法,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-SURVEYING-OBTAIN-01,pt-surveying,obtain,測量業登録の申請・取得,測量法第55条,required,docs/company/licenses/records/,,営業開始前必須
COND-SURVEYING-OBTAIN-02,pt-surveying,obtain,申請書類・添付書類の整備,測量法第55条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-SURVEYING-OBTAIN-03,pt-surveying,obtain,人的・物的要件の充足確認,測量法第55条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-REAL-ESTATE-APPRAISER-OFFICE-OBTAIN-01,pt-real-estate-appraiser-office,obtain,不動産鑑定業者登録の申請・取得,不動産の鑑定評価に関する法律第24条,required,docs/company/licenses/records/,,営業開始前必須
COND-REAL-ESTATE-APPRAISER-OFFICE-OBTAIN-02,pt-real-estate-appraiser-office,obtain,申請書類・添付書類の整備,不動産の鑑定評価に関する法律第24条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-REAL-ESTATE-APPRAISER-OFFICE-OBTAIN-03,pt-real-estate-appraiser-office,obtain,人的・物的要件の充足確認,不動産の鑑定評価に関する法律第24条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-LABOR-DISPATCH-SPECIAL-OBTAIN-01,pt-labor-dispatch-special,obtain,特定労働者派遣事業（経過・参照）の申請・取得,労働者派遣法（改正前区分の参照）,required,docs/company/licenses/records/,,営業開始前必須
COND-LABOR-DISPATCH-SPECIAL-OBTAIN-02,pt-labor-dispatch-special,obtain,申請書類・添付書類の整備,労働者派遣法（改正前区分の参照）,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-LABOR-DISPATCH-SPECIAL-OBTAIN-03,pt-labor-dispatch-special,obtain,人的・物的要件の充足確認,労働者派遣法（改正前区分の参照）,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-EMPLOYMENT-PLACEMENT-SPECIAL-OBTAIN-01,pt-employment-placement-special,obtain,特別の法人等による無料職業紹介の申請・取得,職業安定法第33条,required,docs/company/licenses/records/,,営業開始前必須
COND-EMPLOYMENT-PLACEMENT-SPECIAL-OBTAIN-02,pt-employment-placement-special,obtain,申請書類・添付書類の整備,職業安定法第33条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
COND-EMPLOYMENT-PLACEMENT-SPECIAL-OBTAIN-03,pt-employment-placement-special,obtain,人的・物的要件の充足確認,職業安定法第33条,required,docs/company/licenses/records/,,責任者配置・設備・保証金等
COND-SECONDHAND-ARTICLES-AUCTION-OBTAIN-01,pt-secondhand-articles-auction,obtain,古物市場主許可の申請・取得,古物営業法第4条,required,docs/company/licenses/records/,,営業開始前必須
COND-SECONDHAND-ARTICLES-AUCTION-OBTAIN-02,pt-secondhand-articles-auction,obtain,申請書類・添付書類の整備,古物営業法第4条,required,docs/company/licenses/records/,,定款・登記事項・図面等（種別による）
