permit_type_id,name_ja,name_en,category,legal_basis,issuer_type,issuer_label_ja,renewal_cycle,property_scoped,site_scoped,binds_module,catalog_version,review_status,notes
pt-architect-office,建築士事務所登録,,construction,建築士法第20条の2,prefectural,,,false,false,,1,unverified,
pt-freight-forwarding,一般貨物自動車運送事業許可,,transport,貨物自動車運送事業法第4条,mlit_regional,,原則無期限（事業計画変更届出あり）,false,false,,1,unverified,
pt-bus-common,一般乗合旅客自動車運送事業許可,,transport,道路運送法第4条,mlit_regional,,,false,false,,1,unverified,
pt-taxi,一般乗用旅客自動車運送事業許可,,transport,道路運送法第4条,mlit_regional,,,false,false,,1,unverified,タクシー・ハイヤー等
pt-medical-device-mfg,医療機器製造業許可,,medical_health,薬機法第6条の2,prefectural,,,false,true,jp_medical_device,1,unverified,
pt-medical-device-mah,医療機器製造販売業許可,,medical_health,薬機法第12条,prefectural,,,false,false,jp_medical_device,1,unverified,
pt-medical-device-dist,医療機器販売業許可,,medical_health,薬機法第13条,prefectural,,,false,false,jp_medical_device,1,unverified,
pt-medical-device-repair,医療機器修理業許可,,medical_health,薬機法第14条,prefectural,,,false,false,jp_medical_device,1,unverified,
pt-clinic,診療所開設許可,,pharmacy_clinic,医療法第19条,prefectural,,,true,false,,1,unverified,
pt-hospital,病院開設許可,,pharmacy_clinic,医療法第19条,prefectural,,,true,false,,1,unverified,
pt-pharmacy,薬局開設許可,,pharmacy_clinic,薬局構造設備規則,prefectural,,,true,false,,1,unverified,
pt-dental,歯科診療所開設届出,,pharmacy_clinic,医療法第19条,prefectural,,,true,false,,1,unverified,
pt-money-lending,貸金業登録,,finance,貸金業法第4条,prefectural,,3年,false,false,,1,unverified,
pt-fund-transfer,資金移動業者登録,,finance,資金決済に関する法律第37条,national,財務局長,,false,false,,1,unverified,
pt-crypto-exchange,暗号資産交換業登録,,finance,資金決済に関する法律第63条,national,財務局長,,false,false,,1,unverified,
pt-staffing,労働者派遣事業許可,,labor,労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律第5条,prefectural,,3年,false,false,,1,unverified,
pt-job-intro-fee,有料職業紹介事業許可,,labor,職業安定法第32条の13,prefectural,,5年,false,false,,1,unverified,
pt-job-intro-free,無料職業紹介事業届出,,labor,職業安定法第32条の11,prefectural,,,false,false,,1,unverified,
pt-waste-collect,産業廃棄物収集運搬業許可,,waste_environment,廃棄物の処理及び清掃に関する法律第7条,prefectural,,5年,false,false,,1,unverified,
pt-waste-disposal,産業廃棄物処分業許可,,waste_environment,廃棄物の処理及び清掃に関する法律第7条,prefectural,,5年,false,false,,1,unverified,
pt-general-waste,一般廃棄物収集運搬業許可,,waste_environment,廃棄物の処理及び清掃に関する法律第7条,municipal,,,false,false,,1,unverified,
pt-security,警備業認定,,security,警備業法第4条,prefectural,,5年,false,false,,1,unverified,
pt-telecom,電気通信事業届出,,telecom_media,電気通信事業法第9条,national,総務大臣,,false,false,,1,unverified,
pt-telecom-registration,電気通信事業登録（基礎的電気通信役務）,,telecom_media,電気通信事業法第9条の2,national,,,false,false,,1,unverified,
pt-broadcast,基幹放送事業許可,,telecom_media,放送法第21条,national,総務大臣,,false,false,,1,unverified,
pt-import-declaration,輸入申告（通関）,,import_export,関税法第67条,customs,,,false,false,,1,unverified,事業者登録・AEO 等と併用
pt-export-declaration,輸出申告（通関）,,import_export,関税法第70条,customs,,,false,false,,1,unverified,
pt-fueiho-1,風俗営業第1種（キャバレー・クラブ等）,,entertainment,風俗営業等の規制及び業務の適正化等に関する法律第4条,police,公安委員会,,true,false,,1,unverified,
pt-fueiho-2,風俗営業第2種（料理店等）,,entertainment,風俗営業等の規制及び業務の適正化等に関する法律第4条,police,,,true,false,,1,unverified,
pt-tokutei-yukyo,特定遊興飲食店営業許可,,entertainment,風俗営業法関連,police,,,true,false,,1,unverified,
pt-antique-dealer,古物商許可,,retail,古物営業法第4条,prefectural,,5年,false,false,,1,unverified,
pt-tobacco-retail,たばこ小売販売業届出,,retail,たばこ事業法第14条,prefectural,,,true,false,,1,unverified,
pt-home-care,訪問介護事業指定,,welfare_care,介護保険法第71条,prefectural,,,false,false,,1,unverified,
pt-day-service,通所介護事業指定,,welfare_care,介護保険法第71条,prefectural,,,false,false,,1,unverified,
pt-disability-support,障害福祉サービス事業所指定,,welfare_care,障害者総合支援法第71条,prefectural,,,false,false,,1,unverified,
pt-senshu-school,専修学校設置認可,,education,学校教育法第82条,prefectural,,,false,false,,1,unverified,
pt-misc-school,各種学校設置認可,,education,学校教育法第83条,prefectural,,,false,false,,1,unverified,
pt-farmland-conversion,農地転用許可,,agriculture,農地法第4条,prefectural,,,true,false,,1,unverified,
pt-fishery-right,漁業権設定・許可,,agriculture,漁業法,prefectural,,,false,false,,1,unverified,
pt-electricity-retail,小売電気事業登録,,energy,電気事業法第2条の11,national,経済産業大臣,,false,false,,1,unverified,
pt-gas-utility,ガス事業許可,,energy,ガス事業法第3条,national,,,false,false,,1,unverified,
pt-privacy-cross-border,個人情報の外国第三者提供に関する届出,,other,個人情報保護法第28条,ppc,個人情報保護委員会,,false,false,,1,unverified,
pt-employment-rules,就業規則届出,,other,労働基準法第89条,prefectural,労働基準監督署,,false,false,,1,unverified,
pt-fiea-type1,第一種金融商品取引業,Type I Financial Instruments Business,finance,金融商品取引法第29条,fsa,内閣総理大臣（金融庁）,登録（更新手続は別途）,false,false,,2,unverified,証券会社等 · 自己資本規制・登録拒否事由あり
pt-fiea-type2,第二種金融商品取引業,Type II Financial Instruments Business,finance,金融商品取引法第29条,fsa,内閣総理大臣（金融庁）,,false,false,,2,unverified,ファンド持分販売等
pt-fiea-investment-advisory,投資助言・代理業,,finance,金融商品取引法第29条,fsa,内閣総理大臣（金融庁）,,false,false,,2,unverified,
pt-fiea-investment-management,投資運用業,,finance,金融商品取引法第29条,fsa,内閣総理大臣（金融庁）,,false,false,,2,unverified,
pt-fiea-registered-financial-institution,登録金融機関業務（金商法）,,finance,金融商品取引法第33条の2,fsa,内閣総理大臣（金融庁）,,false,false,,2,unverified,銀行等が有価証券関連業務を行う場合
pt-banking,銀行業免許,,finance,銀行法第4条,fsa,内閣総理大臣,,false,false,,2,unverified,
pt-insurance,保険業免許,,finance,保険業法第3条,fsa,内閣総理大臣,,false,false,,2,unverified,
pt-insurance-agent,保険募集人登録,,finance,保険業法第276条,fsa,財務局長等,,false,false,,2,unverified,
pt-trust,信託業免許・登録,,finance,信託業法第3条・第7条,fsa,内閣総理大臣,,false,false,,2,unverified,
pt-prepaid-payment,前払式支払手段発行者届出・登録,,finance,資金決済に関する法律第7条・第8条,fsa,財務局長,,false,false,,2,unverified,
pt-electronic-payment-agency,電子決済等代行業者登録,,finance,銀行法第52条の61の2,fsa,内閣総理大臣,,false,false,,2,unverified,
pt-financial-instruments-intermediary,金融商品仲介業登録,,finance,金融商品取引法第66条,fsa,内閣総理大臣（金融庁）,,false,false,,2,unverified,
pt-credit-card,包括信用購入あっせん業登録,,finance,割賦販売法第31条,meti,経済産業大臣,,false,false,,2,unverified,
pt-commodity-derivatives,商品先物取引業者許可,,finance,商品先物取引法第190条,meti,農林水産大臣・経済産業大臣,,false,false,,2,unverified,
pt-cosmetics-mah,化粧品製造販売業許可,,medical_health,薬機法第12条,prefectural,都道府県知事,,false,false,,2,unverified,GQP/GVP 体制
pt-cosmetics-mfg,化粧品製造業許可,,medical_health,薬機法第13条,prefectural,,,false,true,,2,unverified,
pt-quasi-drug-mah,医薬部外品製造販売業許可,,medical_health,薬機法第12条,prefectural,,,false,false,,2,unverified,
pt-quasi-drug-mfg,医薬部外品製造業許可,,medical_health,薬機法第13条,prefectural,,,false,true,,2,unverified,
pt-pharma-mah,医薬品製造販売業許可,,medical_health,薬機法第12条,prefectural,,,false,false,,2,unverified,品目承認は別手続
pt-pharma-mfg,医薬品製造業許可,,medical_health,薬機法第13条,prefectural,,,false,true,,2,unverified,
pt-pharma-wholesale,医薬品卸売販売業許可,,medical_health,薬機法第24条,prefectural,,,false,false,,2,unverified,
pt-pharma-store-sales,店舗販売業許可（医薬品）,,medical_health,薬機法第24条,prefectural,,,true,false,,2,unverified,
pt-pharma-placement-sales,配置販売業許可（医薬品）,,medical_health,薬機法第24条,prefectural,,,false,false,,2,unverified,
pt-poisonous-drug,毒物劇物製造業・販売業登録,,medical_health,毒物及び劇物取締法第3条,prefectural,,,false,false,,2,unverified,
pt-narcotics-handler,麻薬取扱者免許,,medical_health,麻薬及び向精神薬取締法第3条,prefectural,,,false,false,,2,unverified,
pt-regenerative-mah,再生医療等製品製造販売業許可,,medical_health,薬機法第23条の20,prefectural,,,false,false,,2,unverified,
pt-travel-agency-1,旅行業登録（第1種）,,travel,旅行業法第3条,mlit,観光庁長官,5年,false,false,travel_booking,2,unverified,
pt-travel-agency-2,旅行業登録（第2種）,,travel,旅行業法第3条,prefectural,,5年,false,false,travel_booking,2,unverified,
pt-travel-agency-3,旅行業登録（第3種）,,travel,旅行業法第3条,prefectural,,5年,false,false,travel_booking,2,unverified,
pt-travel-agency-regional,地域限定旅行業登録,,travel,旅行業法第3条,prefectural,,5年,false,false,,2,unverified,
pt-travel-agent,旅行業者代理業登録,,travel,旅行業法第3条,prefectural,,5年,false,false,,2,unverified,
pt-warehousing,倉庫業登録,,transport,倉庫業法第3条,mlit_regional,地方運輸局長,,false,false,,2,unverified,
pt-motor-vehicle-maintenance,自動車分解整備事業認証,,transport,道路運送車両法第78条,mlit_regional,,,true,false,,2,unverified,
pt-passenger-bus-charter,一般貸切旅客自動車運送事業許可,,transport,道路運送法第4条,mlit_regional,,,false,false,,2,unverified,
pt-coastal-shipping,内航海運業許可・届出,,transport,内航海運業法,mlit,,,false,false,,2,unverified,
pt-surveying,測量業登録,,construction,測量法第55条,mlit,国土交通大臣,,false,false,,2,unverified,
pt-real-estate-appraiser-office,不動産鑑定業者登録,,real_estate,不動産の鑑定評価に関する法律第24条,prefectural,,,false,false,,2,unverified,
pt-labor-dispatch-special,特定労働者派遣事業（経過・参照）,,labor,労働者派遣法（改正前区分の参照）,prefectural,,,false,false,,2,unverified,現行は原則許可制 · 歴史データ用 · review 後 deprecated 可
pt-employment-placement-special,特別の法人等による無料職業紹介,,labor,職業安定法第33条,prefectural,,,false,false,,2,unverified,
pt-secondhand-articles-auction,古物市場主許可,,retail,古物営業法第4条,prefectural,,,false,false,,2,unverified,
pt-door-to-door-sales-notify,特定商取引法に基づく表示・届出管理,,retail,特定商取引法,meti,,,false,false,,2,unverified,業態により届出・表示義務 · 自治体確認
pt-pawnbroker,質屋営業許可,,retail,質屋営業法第2条,prefectural,,,false,false,,2,unverified,
pt-used-car-dealer,古物商（自動車）特記,,retail,古物営業法第4条,prefectural,,,false,false,,2,unverified,pt-antique-dealer の自動車取扱区分 · 実務上別管理
pt-animal-handling,第一種動物取扱業登録,,animal,動物の愛護及び管理に関する法律第10条,prefectural,,,true,false,,2,unverified,
pt-animal-handling-2,第二種動物取扱業届出,,animal,動物の愛護及び管理に関する法律第24条の2,prefectural,,,false,false,,2,unverified,
pt-veterinary-clinic,動物病院開設届出,,animal,獣医療法第3条,prefectural,,,true,false,,2,unverified,
pt-nursery-authorized,保育所設置認可,,childcare,児童福祉法第35条,prefectural,,,true,false,,2,unverified,
pt-nursery-unauthorized-notify,認可外保育施設届出,,childcare,児童福祉法第59条の2,prefectural,,,true,false,,2,unverified,
pt-after-school-care,放課後児童健全育成事業届出,,childcare,児童福祉法,municipal,,,true,false,,2,unverified,
pt-nursing-home,介護老人福祉施設開設許可,,welfare_care,介護保険法,prefectural,,,true,false,,2,unverified,
pt-fee-based-home-elderly,有料老人ホーム設置届出,,welfare_care,老人福祉法第29条,prefectural,,,true,false,,2,unverified,
pt-driving-school,指定自動車教習所指定,,education,道路交通法第99条,police,公安委員会,,true,false,,2,unverified,
pt-cram-school-fire,学習塾等の防火対象物届出,,education,消防法,fire_department,,,true,false,,2,unverified,用途・規模により · 自治体確認
pt-food-processing-additive,添加物製造業許可,,food_beverage,食品衛生法第28条,health_center,,,false,true,,2,unverified,
pt-meat-processing,食肉製品製造業許可,,food_beverage,食品衛生法第28条,health_center,,,false,true,,2,unverified,
pt-confectionery,菓子製造業許可,,food_beverage,食品衛生法第28条,health_center,,,false,true,,2,unverified,
pt-food-import-notification,食品等輸入届出,,import_export,食品衛生法第27条,mhlw,検疫所,,false,false,,2,unverified,
pt-mahjong,風俗営業第4号（マージャン等）,,entertainment,風俗営業法第2条,police,,,true,false,,2,unverified,
pt-game-center,風俗営業第5号（ゲームセンター等）,,entertainment,風俗営業法第2条,police,,,true,false,,2,unverified,
pt-late-night-restaurant,深夜酒類提供飲食店営業届出,,entertainment,風俗営業法第33条,police,,,true,false,,2,unverified,
pt-radio-station,無線局免許,,telecom_media,電波法第4条,national,総務大臣,,false,false,,2,unverified,
pt-domain-mvno,電気通信事業者届出（MVNO等）,,telecom_media,電気通信事業法第16条,national,総務大臣,,false,false,,2,unverified,届出区分 · pt-telecom と併用整理可
pt-heat-supply,熱供給事業登録,,energy,熱供給事業法,meti,経済産業大臣,,false,false,,2,unverified,
pt-petroleum-retail,揮発油販売業登録,,energy,揮発油等の品質の確保等に関する法律第3条,meti,,,true,false,,2,unverified,
pt-pcb-waste,PCB廃棄物処理業許可,,waste_environment,PCB特措法,prefectural,,,false,false,,2,unverified,
pt-industrial-waste-collection-special,特別管理産業廃棄物収集運搬業許可,,waste_environment,廃棄物の処理及び清掃に関する法律第14条の4,prefectural,,5年,false,false,,2,unverified,
pt-detective,探偵業届出,,security,探偵業の業務の適正化に関する法律第4条,prefectural,,,false,false,,2,unverified,
pt-firearms,銃砲刀剣類所持許可（事業者）,,security,銃砲刀剣類所持等取締法,police,,,false,false,,2,unverified,
pt-immigration-support,登録支援機関の登録,,labor,出入国管理及び難民認定法,national,出入国在留管理庁,,false,false,,2,unverified,
pt-specified-skilled-worker-org,特定技能所属機関届出,,labor,出入国管理及び難民認定法,national,出入国在留管理庁,,false,false,,2,unverified,
pt-certified-public-accountant-firm,監査法人登録,,other,公認会計士法,national,金融庁,,false,false,,2,unverified,
pt-judicial-scrivener-office,司法書士法人設立認可等,,other,司法書士法,moj,法務局,,false,false,,2,unverified,
pt-administrative-scrivener-office,行政書士法人設立認可等,,other,行政書士法,moj,,,false,false,,2,unverified,都道府県会経由
pt-social-insurance-labor-consultant-office,社会保険労務士法人設立認可等,,other,社会保険労務士法,national,,,false,false,,2,unverified,
pt-patent-attorney-office,弁理士法人設立認可等,,other,弁理士法,national,経済産業大臣,,false,false,,2,unverified,
pt-tax-accountant-office,税理士法人設立認可等,,other,税理士法,national,財務大臣,,false,false,,2,unverified,
